key,en,en.mad,ru,ru.mad,tr,tr.mad
Client::I am playing on…,I am playing on…,I decided to play this shit using:,Я играю на:,Я это хрень на:,Kullanarak oynuyorum…,Kullanarak oynuyorum…
Client::Mobile,Mobile,My android (do do da du du),Мобилке,Мобилке,Cep telefonu,Cep telefonu
Client::PC,PC,My overpriced brick,ПК,ПК,PC,PC
Client::My preferred language is:,My preferred language is:,Hewwo I only spweak:,Мой любимый язык:,я немного говорю,Tercih ettiğim dil:,Tercih ettiğim dil:
Client::Options:,Options,The illusion of free choice (1984):,Настройки:,Опцэи,Seçenekler,Seçenekler
Client::Graphics:,Graphics,RTX count,Графикс,Графикс,Grafik:,Grafik:
Client::High quality,High quality,Many rtxes (very good very nice),Высокое качество ,Ебейший графоний,Yüksek kalite,Yüksek kalite
Client::Potato quality,Potato quality,Few rtxes (your device is COOKED),Качество картофеля,Каморусский ПК,Patates kalitesi,Patates kalitesi
Client::Quit,Quit,GET ME OUT OF HERE,Выйти,Кто куда а я по съёбам,Bırakmak,Bırakmak
Client::Credits:,Credits:,Nobody will read this but anyway:,Авторы:,Долбаёбы какие-то:,Mesaj gönder..,Mesaj gönder..
PlayerBody::Send message..,Send message..,Insert useless drivell..,Отправить сообщение..,вставить литературный диарех..,Yazarlar:,Yazarlar:
PlayerBody::Live chat,Live chat,Useless chat feature,Живой чат,Живой чат,Canlı sohbet,Canlı sohbet
PlayerBody::Close,Close,!Open,Закрыть игру,Скрыться этому,Oyunu kapat,Oyunu kapat
PlayerBody::Chat,Chat,Telecommunications 🤓,Чат,Мёртвый чат,Sohbet,Sohbet
Client::Done,Done,Les  gooooooooooooooo,Продолжить,Го Го Го,Tamamlamak,Tamamlamak
Client::English:,English:,THIS FOCKEN LANGUAGE 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿:,Английский:,"Xaxa эти идиоты, пьющие чай",İngilizce:,İngilizce:
Client::Russian:,Russian:,Darn commies:,Русский:,Я РУССКИИИИИИИИЙ,Rusça:,Rusça:
Client::Turkish:,Turkish:,Pretty sure my barber speaks this?,Турецкий:,AAAAAAAAAAAAA,Türkçe:,Türkçe:
Client::Volume:,Volume:,Earrape%:,Объем:,боль в ушах:,Ses seviyesi:,Ses seviyesi:
Client::Back to game,Back to game,LET ME BACK IN PLSSSS,Вернуться в игру,Возвращение в ГУЛАГ,Oyuna dön,Oyuna dön
Client::Please select your current device!,Please select your current device!,SELECT YOUR DEVICE OR YOU Ain’T PLAYING,"Пожалуйста, выберите ваше текущее устройство!","ты забыл, черт возьми, выбрать один хаха",Lütfen mevcut cihazınızı seçin!,Lütfen mevcut cihazınızı seçin!
Client::Language:,Language:,Blah blah:,Язык:,Бла-бла:,Dil:,Dil:
LoadingScreen::Waiting for event to start…,Waiting for event to start…,Why is it taking so long to load frrrrr (zero patience),Ожидание начала мероприятия…,"Жду 6 световых лет, пока загрузится чертова игра.",Etkinliğin başlaması bekleniyor…,Etkinliğin başlaması bekleniyor…
LoadingScreen::A rplace.live special event…,A rplace.live special event...,A rare rplace.live event (canvvas update when?),Особое событие rplace.live…,Неудачное событие от rplace.live…,rplace.live özel etkinliği…,rplace.live özel etkinliği…
